user_id,shift,role_group,cluster_id,assigned_at
AAB0398,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
AAM0138,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
ACM0100,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
ACS0128,Day,admin_staff,3,2026-06-05T07:40:54.261158+00:00
ADB0350,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
AGM0133,Day,admin_staff,3,2026-06-05T07:40:54.261158+00:00
AGS0063,Day,admin_staff,3,2026-06-05T07:40:54.261158+00:00
AHB0648,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
AJV0176,Day,admin_staff,0,2026-06-05T07:40:54.261158+00:00
AKD0272,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
ANK0777,Day,admin_staff,0,2026-06-05T07:40:54.261158+00:00
APM0190,Day,admin_staff,3,2026-06-05T07:40:54.261158+00:00
ARG0441,Day,admin_staff,3,2026-06-05T07:40:54.261158+00:00
ARM0771,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
ASC0177,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
AVT0526,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
AWW0254,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
BAW0780,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
BCB0521,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
BEH0103,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
BJR0774,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
BKA0175,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
BMN0178,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
BTV0644,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
CCT0020,Day,admin_staff,0,2026-06-05T07:40:54.261158+00:00
CER0228,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
CFL0156,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
CHC0252,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
CJW0376,Day,admin_staff,2,2026-06-05T07:40:54.261158+00:00
CMH0776,Day,admin_staff,1,2026-06-05T07:40:54.261158+00:00
